City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
111,Thompson,CA,55.7435,-97.8558,68.16,45,40,5.75,scattered clouds
112,Hamilton,US,39.1834,-84.5333,79.59,84,100,8.05,overcast clouds
113,Naze,JP,28.3667,129.4833,79.72,84,66,11.86,broken clouds
114,Ta`U,AS,-14.2336,-169.5144,80.78,77,7,10.58,clear sky
115,Ambam,CM,2.3833,11.2833,67.68,100,78,2.48,broken clouds
116,Nova Sintra,CV,14.8667,-24.7167,73.15,74,60,16.17,broken clouds
117,Lorengau,PG,-2.0226,147.2712,82.27,75,100,15.59,overcast clouds
118,Khedbrahma,IN,24.0333,73.05,75.96,89,96,5.12,overcast clouds
119,Kodiak,US,57.79,-152.4072,58.51,72,100,10.36,light rain
120,Grytviken,GS,-54.2811,-36.5092,22.08,94,41,0.98,light snow
121,Lihue,US,21.9789,-159.3672,92.44,63,40,19.57,light rain
122,Lompoc,US,34.6391,-120.4579,77.77,74,75,9.22,broken clouds
123,Coahuayana De Hidalgo,MX,18.7,-103.6583,87.69,72,31,4.99,moderate rain
124,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,78,40,6.33,light intensity shower rain
125,Chivhu,ZW,-19.0211,30.8922,46.89,81,0,10.31,clear sky
126,Armacao De Buzios,BR,-22.7469,-41.8817,71.65,84,73,16.24,broken clouds
127,Yaring,TH,6.8662,101.3689,77.02,87,57,4.99,broken clouds
128,Okhotsk,RU,59.3833,143.3,62.4,62,10,3.31,clear sky
129,Broken Hill,AU,-31.95,141.4333,51.87,72,44,15.19,scattered clouds
130,Machico,PT,32.7,-16.7667,75.83,84,20,4.61,few clouds
131,Palmer,US,42.1584,-72.3287,82.0,54,75,13.8,smoke
132,West Island,CC,-12.1568,96.8225,76.98,83,75,12.66,broken clouds
133,Mae Sot,TH,16.7167,98.5667,75.15,100,75,0.0,broken clouds
134,Port Macquarie,AU,-31.4333,152.9167,57.88,52,56,6.42,broken clouds
135,Dazhong,CN,33.1997,120.4578,75.94,90,7,9.19,clear sky
136,Bel Ombre,SC,-4.6167,55.4167,78.64,78,20,8.05,few clouds
137,Bikenibeu Village,KI,1.3673,173.1241,85.96,74,20,2.3,few clouds
138,San Jose De Jachal,AR,-30.2406,-68.7469,60.87,24,24,2.37,few clouds
139,Ariquemes,BR,-9.9133,-63.0408,84.65,46,65,0.58,heavy intensity rain
140,Labytnangi,RU,66.6572,66.4183,48.63,81,7,6.8,clear sky
141,Nadi,FJ,-17.8,177.4167,78.8,65,75,5.75,broken clouds
142,Hithadhoo,MV,-0.6,73.0833,80.82,75,76,4.79,broken clouds
143,Tazacorte,ES,28.629,-17.9293,76.17,93,1,17.27,clear sky
144,Jiangyou,CN,31.7667,104.7167,77.32,88,84,3.51,broken clouds
145,Pisco,PE,-13.7,-76.2167,68.05,77,20,16.11,few clouds
146,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,74,75,14.97,broken clouds
147,Mstera,RU,56.3789,41.92,63.45,93,68,4.27,light rain
148,Malabar,AU,-33.9667,151.25,62.71,54,0,6.91,clear sky
149,Mariental,NA,-24.6333,17.9667,61.23,22,24,16.46,few clouds
150,Egilsstadir,IS,65.2653,-14.3948,48.11,66,40,9.22,scattered clouds
151,Ad Darb,SA,17.7229,42.2526,91.69,44,77,8.25,broken clouds
152,Belyy Yar,RU,53.6039,91.3903,60.69,88,0,4.47,clear sky
153,Sabha,LY,27.0377,14.4283,81.09,29,0,10.16,clear sky
154,Chinde,NP,26.8418,88.0763,64.67,95,90,2.26,overcast clouds
155,Taltal,CL,-25.4,-70.4833,60.73,81,56,4.7,broken clouds
156,Borogontsy,RU,62.6683,131.1683,65.73,51,34,7.34,scattered clouds
157,St. John'S,CA,47.5649,-52.7093,55.78,89,100,12.66,light intensity shower rain
158,Nar'Yan-Mar,RU,67.6713,53.087,51.66,88,31,5.44,scattered clouds
159,Luderitz,NA,-26.6481,15.1594,73.74,43,78,9.71,broken clouds
160,Burang,CN,30.25,81.1667,52.14,89,100,3.31,light rain
161,Port Augusta,AU,-32.5,137.7667,52.52,74,1,5.19,clear sky
162,Constantia,RO,44.1833,28.65,63.7,68,6,9.86,clear sky
163,Badger,US,64.8,-147.5333,74.14,74,75,4.61,smoke
164,Lae,PG,-6.7221,146.9847,74.89,95,100,6.49,overcast clouds
165,Guerrero Negro,MX,27.9769,-114.0611,80.22,61,12,19.04,few clouds
166,Samarinda,ID,-0.5,117.15,74.62,91,100,1.92,overcast clouds
167,Klyuchi,RU,52.2667,79.1667,65.71,47,70,6.44,broken clouds
168,Carutapera,BR,-1.195,-46.02,76.8,88,70,7.58,broken clouds
169,Bredasdorp,ZA,-34.5322,20.0403,50.65,93,2,2.17,clear sky
170,Pimentel,PE,-6.8367,-79.9342,75.49,73,100,12.66,overcast clouds
171,Sinazongwe,ZM,-17.2614,27.4618,64.87,46,0,3.62,clear sky
172,Vernon,CA,50.2581,-119.2691,79.61,68,100,1.14,overcast clouds
173,Ilulissat,GL,69.2167,-51.1,48.22,57,75,4.61,fog
174,Kamaishi,JP,39.2667,141.8833,80.44,85,39,13.62,scattered clouds
175,Saudarkrokur,IS,65.7461,-19.6394,43.23,86,73,10.51,broken clouds
176,Correntina,BR,-13.3433,-44.6367,75.63,40,2,6.58,clear sky
177,Nuku'Alofa,TO,-21.1333,-175.2,75.54,83,75,8.05,broken clouds
178,Ribeira Grande,PT,38.5167,-28.7,75.6,88,20,8.05,shower rain
179,Richards Bay,ZA,-28.783,32.0377,66.81,68,99,3.89,overcast clouds
180,Karratha,AU,-20.7377,116.8463,68.07,48,0,6.31,clear sky
181,Longyearbyen,SJ,78.2186,15.6401,48.04,76,0,11.5,clear sky
182,Gorontalo,ID,0.5412,123.0595,77.61,84,92,4.54,overcast clouds
183,Sao Desiderio,BR,-12.3633,-44.9733,81.66,34,52,4.65,broken clouds
184,Strezhevoy,RU,60.7333,77.5889,48.63,90,100,12.19,overcast clouds
185,Bandar Lampung,ID,-5.4254,105.258,72.54,96,74,1.01,broken clouds
186,Kedougou,SN,12.5579,-12.1743,78.91,88,86,4.92,overcast clouds
187,Achacachi,BO,-16.05,-68.6833,45.55,76,5,9.89,clear sky
188,Nampula,MZ,-15.1165,39.2666,64.35,88,40,8.05,scattered clouds
189,Alice Springs,AU,-23.7,133.8833,44.15,70,2,0.0,clear sky
190,Udachny,RU,66.4167,112.4,59.45,54,94,8.23,overcast clouds
191,Uacu Cungo,AO,-11.3634,15.1208,63.5,67,2,1.23,clear sky
192,Naryn,KG,41.4287,75.9911,54.57,44,0,6.42,clear sky
193,Bogale,MM,16.2833,95.4,76.91,92,100,4.83,moderate rain
194,San Antonio De Pale,GQ,-1.4014,5.6325,74.57,81,91,12.06,overcast clouds
195,Sitka,US,57.0531,-135.33,58.89,88,100,4.61,moderate rain
196,Neftcala,AZ,39.3742,49.2472,81.68,67,0,7.25,clear sky
197,Minas De Marcona,PE,-15.2119,-75.1103,58.08,76,4,12.19,clear sky
198,Port Alfred,ZA,-33.5906,26.891,61.18,87,25,5.01,scattered clouds
199,Nizao,DO,18.25,-70.2,84.47,75,38,10.36,scattered clouds
200,Remire-Montjoly,GF,4.9167,-52.2667,82.44,78,0,8.05,clear sky
201,Navolato,MX,24.7672,-107.6944,84.38,42,33,10.83,scattered clouds
202,Louviers,FR,49.2167,1.1667,65.75,94,0,8.05,clear sky
203,Balabac,PH,7.9868,117.0645,82.02,80,85,9.93,overcast clouds
204,Mata-Utu,WF,-13.2816,-176.1745,82.2,77,10,12.19,clear sky
205,Korsakov,RU,46.6328,142.7813,62.44,88,100,8.21,overcast clouds
206,Lazarevskoye,RU,43.9061,39.3331,77.67,88,27,7.81,scattered clouds
207,Mokhsogollokh,RU,61.4681,128.9203,63.12,54,79,7.34,broken clouds
208,Macomb,US,40.4592,-90.6718,75.15,90,100,0.0,overcast clouds
209,Portage La Prairie,CA,49.9728,-98.2926,68.09,50,75,13.8,broken clouds
210,Makurdi,NG,7.7411,8.5121,74.43,91,100,5.93,overcast clouds
211,Vilyuysk,RU,63.7553,121.6247,63.59,50,1,9.33,clear sky
212,Matoury,GF,4.8483,-52.3317,82.36,78,0,8.05,clear sky
